,project_id,uid,date,income
294,78414,1709755371,2022-11-16T00:00:00.000Z,0.0
295,78414,1710096477,2023-01-17T00:00:00.000Z,1.38
296,78414,1713698815,2022-11-14T00:00:00.000Z,0.0
297,78414,1714073899,2022-11-16T00:00:00.000Z,0.0
298,78414,1716528528,2022-11-29T00:00:00.000Z,0.0
299,78414,1718146027,2022-11-28T00:00:00.000Z,0.0
300,78414,1718416044,2022-11-27T00:00:00.000Z,0.0
301,78414,1725259597,2022-12-08T00:00:00.000Z,0.0
302,79091,1430094402,2022-10-15T00:00:00.000Z,0.0
303,79091,1675921760,2022-10-06T00:00:00.000Z,0.0
304,79091,1684019585,2022-12-15T00:00:00.000Z,0.0
305,79091,1699065816,2022-10-12T00:00:00.000Z,0.0
306,79091,1703905621,2022-10-26T00:00:00.000Z,0.0
307,79091,1706440161,2022-11-16T00:00:00.000Z,0.0
308,79091,1713698815,2022-12-08T00:00:00.000Z,0.0
309,79091,1718146027,2022-11-27T00:00:00.000Z,0.0
310,79412,1714073899,2022-11-15T00:00:00.000Z,0.0
311,79460,1316040758,2022-11-04T00:00:00.000Z,0.03
312,79460,1429235843,2022-11-27T00:00:00.000Z,0.12
313,79460,1490584733,2022-10-29T00:00:00.000Z,0.09
314,79460,1674749132,2022-11-09T00:00:00.000Z,0.03
315,79460,1675921760,2022-11-08T00:00:00.000Z,0.09
316,79460,1684019585,2022-12-07T00:00:00.000Z,0.05
317,79460,1706440161,2022-11-06T00:00:00.000Z,0.52
318,79460,1714073899,2022-12-07T00:00:00.000Z,0.01
319,79460,1716528528,2022-12-13T00:00:00.000Z,0.06
320,79460,1718416044,2022-11-27T00:00:00.000Z,0.06
321,80983,1316040758,2022-11-05T00:00:00.000Z,0.03
322,80983,1429235843,2022-11-30T00:00:00.000Z,0.06
323,80983,1490584733,2022-10-22T00:00:00.000Z,0.01
324,80983,1675921760,2022-11-07T00:00:00.000Z,0.025
325,80983,1684019585,2022-12-07T00:00:00.000Z,0.08
326,80983,1706440161,2022-11-06T00:00:00.000Z,0.0
327,80983,1714073899,2022-12-07T00:00:00.000Z,0.03
328,80983,1718416044,2022-11-27T00:00:00.000Z,0.03
329,80999,1316040758,2022-11-04T00:00:00.000Z,0.02
330,80999,1429235843,2022-11-23T00:00:00.000Z,0.0
331,80999,1458049517,2022-12-14T00:00:00.000Z,0.0
332,80999,1490584733,2022-10-11T00:00:00.000Z,0.0
333,80999,1674749132,2022-11-29T00:00:00.000Z,0.0
334,80999,1675921760,2022-11-02T00:00:00.000Z,0.01
335,80999,1684019585,2022-12-13T00:00:00.000Z,0.42
336,80999,1706440161,2022-11-05T00:00:00.000Z,0.06
337,80999,1710096477,2022-11-30T00:00:00.000Z,0.14
338,80999,1713698815,2022-12-04T00:00:00.000Z,0.0
339,80999,1714073899,2022-11-16T00:00:00.000Z,0.0
340,80999,1718146027,2022-11-27T00:00:00.000Z,0.0
341,80999,1718416044,2022-11-25T00:00:00.000Z,0.0
342,81077,1429235843,2022-11-26T00:00:00.000Z,0.05
343,81077,1458049517,2022-11-20T00:00:00.000Z,0.0
344,81077,1490584733,2022-10-16T00:00:00.000Z,0.01
345,81077,1674749132,2022-11-19T00:00:00.000Z,0.0
346,81077,1675921760,2022-11-07T00:00:00.000Z,0.05
347,81077,1684019585,2022-12-13T00:00:00.000Z,0.02
